id,age,experience_years,education_level,hours_per_week,annual_income,credit_score,will_purchase
1,58,39,HighSchool,37,78163,688,1
2,24,5,PhD,22,42952,659,0
3,50,32,Bachelors,54,60267,687,1
4,35,17,Bachelors,47,49815,684,0
5,66,43,HighSchool,25,68792,695,1
6,40,18,HighSchool,49,17000,607,0
7,42,23,Masters,60,43660,555,0
8,54,33,HighSchool,22,52531,547,0
9,23,2,HighSchool,44,31872,747,0
10,41,21,Masters,42,60775,703,1
11,61,42,Bachelors,54,85428,608,1
12,42,20,Bachelors,40,70293,548,0
13,32,14,Masters,45,49151,697,0
14,54,31,Bachelors,51,46130,744,0
15,47,27,Masters,28,61208,739,1
16,34,10,PhD,43,54859,850,1
17,50,25,HighSchool,23,62452,619,1
18,28,4,HighSchool,44,1216,807,0
19,51,29,HighSchool,27,55155,571,0
20,35,12,HighSchool,38,30671,680,0
21,64,42,Bachelors,52,111873,576,0
22,37,16,Bachelors,43,53566,563,0
23,67,49,Masters,51,128351,669,1
24,69,47,Bachelors,23,84413,740,1
25,23,4,PhD,24,50326,638,1
26,26,6,PhD,55,53039,723,1
27,56,32,Bachelors,54,75359,542,0
28,63,41,PhD,43,65341,682,1
29,25,4,Bachelors,24,21495,729,0
30,32,11,HighSchool,24,39031,626,0
31,22,4,Masters,24,19928,644,0
32,49,28,Bachelors,56,60466,625,1
33,48,24,Bachelors,26,69666,692,1
34,45,21,PhD,23,32097,471,0
35,24,6,PhD,41,41755,618,0
36,30,9,PhD,28,28510,676,0
37,33,14,PhD,55,71102,708,1
38,52,34,HighSchool,35,79981,719,1
39,31,7,HighSchool,30,5824,790,0
40,34,9,Masters,47,36900,542,0
41,68,43,Bachelors,32,69778,826,1
42,55,37,Masters,23,87532,674,1
43,51,31,HighSchool,52,81225,671,1
44,56,37,Bachelors,45,100903,750,1
45,33,15,HighSchool,46,41157,574,0
46,38,16,Bachelors,40,52269,720,1
47,60,38,PhD,40,109306,579,0
48,18,0,HighSchool,24,9884,630,0
49,26,3,HighSchool,35,28102,679,0
50,52,30,HighSchool,55,65742,748,1
51,26,4,HighSchool,26,32184,609,0
52,36,15,Masters,33,36660,523,0
53,50,25,Masters,23,70070,690,1
54,35,17,HighSchool,41,55525,551,0
55,34,14,PhD,55,48008,563,0
56,25,6,Bachelors,54,57432,665,1
57,53,33,PhD,28,81796,667,1
58,68,50,Masters,33,80691,555,0
59,40,16,Bachelors,35,76747,506,0
60,69,49,PhD,21,99741,793,1
61,68,44,Bachelors,37,96493,741,1
62,42,24,PhD,34,69464,798,1
63,40,18,Bachelors,34,61518,656,1
64,39,17,HighSchool,37,40873,717,0
65,61,38,HighSchool,27,82058,611,1
66,55,33,HighSchool,26,56050,613,1
67,68,45,PhD,58,98800,646,1
68,54,33,Masters,22,65976,646,1
69,69,48,Masters,47,111753,694,1
70,39,16,HighSchool,39,28680,645,0
71,38,14,Masters,55,64218,702,1
72,42,22,Masters,45,59491,649,1
73,36,15,PhD,57,44731,611,0
74,46,21,Bachelors,52,28984,675,0
